Point`s of stimul`s start time :21:44:11.78415: Delay before stimul appears :0: Velocity :50:
Timestamp;Position.x;Position.y;Position.z;Is_false_stimul;Is_catched
Point`s of stimul`s start time :21:44:11.78615: Delay before stimul appears :0: Velocity :50:
Timestamp;Position.x;Position.y;Position.z;Is_false_stimul;Is_catched
21:44:11.80915;0,2;1;-0,5;0;0
21:44:11.81016;0,2;1;-0,5;0;0
21:44:11.81115;0,2;1;-0,5;0;0
21:44:11.81115;0,2;1;-0,5;0;0
21:44:11.81215;0,2;1;-0,5;0;0
21:44:11.81215;0,2;1;-0,5;0;0
21:44:11.81316;0,2;1;-0,5;0;0
21:44:11.81316;0,2;1;-0,5;0;0
21:44:11.81415;0,2;1;-0,5;0;0
21:44:11.81415;0,2;1;-0,5;0;0
21:44:11.81515;0,2;1;-0,5;0;0
21:44:11.81615;0,2;1;-0,5;0;0
21:44:11.81615;0,2;1;-0,5;0;0
21:44:11.81815;0,2;1;-0,5;0;0
