Point`s of stimul`s start time :12:05:36.27906: Delay before stimul appears :3,788851: Velocity :50:
Timestamp;Position.x;Position.y;Position.z;Is_false_stimul;Is_catched
12:05:36.28703;2;1,6;7;0;0
12:05:36.28803;2;1,6;7;0;0
12:05:36.28903;2;1,6;7;0;0
12:05:36.29003;2;1,6;7;0;0
12:05:36.29003;2;1,6;7;0;0
12:05:36.29603;2;1,6;7;0;0
12:05:36.29703;2;1,6;7;0;0
12:05:36.31103;2;1,6;7;0;0
12:05:36.31203;2;1,6;7;0;0
12:05:36.31303;2;1,6;7;0;0
12:05:36.32806;2;1,6;7;0;0
12:05:36.33003;2;1,6;7;0;0
12:05:36.33105;2;1,6;7;0;0
12:05:36.33805;2;1,6;7;0;0
12:05:36.33903;2;1,6;7;0;0
12:05:36.35403;2;1,6;7;0;0
12:05:36.35503;2;1,6;7;0;0
12:05:36.35603;2;1,6;7;0;0
12:05:36.35703;2;1,6;7;0;0
12:05:36.36905;2;1,6;7;0;0
12:05:36.37103;2;1,6;7;0;0
12:05:36.38203;2;1,6;7;0;0
12:05:36.38303;2;1,6;7;0;0
12:05:36.38403;2;1,6;7;0;0
12:05:36.39803;2;1,6;7;0;0
12:05:36.39903;2;1,6;7;0;0
12:05:36.39903;2;1,6;7;0;0
12:05:36.40903;2;1,6;7;0;0
12:05:36.41003;2;1,6;7;0;0
12:05:36.41103;2;1,6;7;0;0
12:05:36.42403;2;1,6;7;0;0
12:05:36.42503;2;1,6;7;0;0
12:05:36.43803;2;1,6;7;0;0
12:05:36.43903;2;1,6;7;0;0
12:05:36.44003;2;1,6;7;0;0
12:05:36.45303;2;1,6;7;0;0
12:05:36.45403;2;1,6;7;0;0
12:05:36.45503;2;1,6;7;0;0
12:05:36.46503;2;1,6;7;0;0
12:05:36.46603;2;1,6;7;0;0
12:05:36.46603;2;1,6;7;0;0
12:05:36.48005;2;1,6;7;0;0
12:05:36.48005;2;1,6;7;0;0
12:05:36.48103;2;1,6;7;0;0
12:05:36.49403;2;1,6;7;0;0
12:05:36.49503;2;1,6;7;0;0
12:05:36.50703;2;1,6;7;0;0
12:05:36.50803;2;1,6;7;0;0
12:05:36.50903;2;1,6;7;0;0
12:05:36.52103;2;1,6;7;0;0
12:05:36.52103;2;1,6;7;0;0
12:05:36.52203;2;1,6;7;0;0
12:05:36.53403;2;1,6;7;0;0
12:05:36.53503;2;1,6;7;0;0
