Point`s of stimul`s start time :12:05:45.80132: Delay before stimul appears :3,566555: Velocity :40:
Timestamp;Position.x;Position.y;Position.z;Is_false_stimul;Is_catched
12:05:45.81432;-2;1,6;7;0;0
12:05:45.81532;-2;1,6;7;0;0
12:05:45.81532;-2;1,6;7;0;0
12:05:45.82834;-2;1,6;7;0;0
12:05:45.82932;-2;1,6;7;0;0
12:05:45.82932;-2;1,6;7;0;0
12:05:45.84032;-2;1,6;7;0;0
12:05:45.84032;-2;1,6;7;0;0
12:05:45.84132;-2;1,6;7;0;0
12:05:45.85432;-2;1,6;7;0;0
12:05:45.85532;-2;1,6;7;0;0
12:05:45.86832;-2;1,6;7;0;0
12:05:45.86932;-2;1,6;7;0;0
12:05:45.87032;-2;1,6;7;0;0
12:05:45.88332;-2;1,6;7;0;0
12:05:45.88432;-2;1,6;7;0;0
12:05:45.88532;-2;1,6;7;0;0
12:05:45.89532;-2;1,6;7;0;0
12:05:45.89632;-2;1,6;7;0;0
12:05:45.90234;-2;1,6;7;0;0
12:05:45.90732;-2;1,6;7;0;0
12:05:45.91134;-2;1,6;7;0;0
12:05:45.92734;-2;1,6;7;0;0
12:05:45.92832;-2;1,6;7;0;0
12:05:45.92932;-2;1,6;7;0;0
12:05:45.93034;-2;1,6;7;0;0
12:05:45.93632;-2;1,6;7;0;0
12:05:45.93732;-2;1,6;7;0;0
12:05:45.95134;-2;1,6;7;0;0
12:05:45.95234;-2;1,6;7;0;0
12:05:45.95332;-2;1,6;7;0;0
12:05:45.96632;-2;1,6;7;0;0
12:05:45.96732;-2;1,6;7;0;0
12:05:45.96832;-2;1,6;7;0;0
12:05:45.98126;-2;1,6;7;0;0
12:05:45.98227;-2;1,6;7;0;0
12:05:45.98227;-2;1,6;7;0;0
12:05:45.99226;-2;1,6;7;0;0
12:05:45.99326;-2;1,6;7;0;0
12:05:46.00829;-2;1,6;7;0;0
12:05:46.00928;-2;1,6;7;0;0
12:05:46.01026;-2;1,6;7;0;0
12:05:46.02128;-2;1,6;7;0;0
12:05:46.02228;-2;1,6;7;0;0
12:05:46.02326;-2;1,6;7;0;0
12:05:46.03626;-2;1,6;7;0;0
12:05:46.03726;-2;1,6;7;0;0
12:05:46.03826;-2;1,6;7;0;0
12:05:46.04898;-2;1,6;7;0;0
12:05:46.04898;-2;1,6;7;0;0
12:05:46.06198;-2;1,6;7;0;0
12:05:46.06298;-2;1,6;7;0;0
12:05:46.06398;-2;1,6;7;0;0
12:05:46.07700;-2;1,6;7;0;0
12:05:46.07798;-2;1,6;7;0;0
12:05:46.07798;-2;1,6;7;0;0
12:05:46.08998;-2;1,6;7;0;0
12:05:46.09098;-2;1,6;7;0;0
12:05:46.09098;-2;1,6;7;0;0
12:05:46.10398;-2;1,6;7;0;0
12:05:46.10500;-2;1,6;7;0;0
12:05:46.11798;-2;1,6;7;0;0
12:05:46.11798;-2;1,6;7;0;0
12:05:46.11898;-2;1,6;7;0;0
12:05:46.13198;-2;1,6;7;0;0
12:05:46.13298;-2;1,6;7;0;0
12:05:46.13398;-2;1,6;7;0;0
12:05:46.14598;-2;1,6;7;0;0
12:05:46.14698;-2;1,6;7;0;0
12:05:46.14798;-2;1,6;7;0;0
12:05:46.16098;-2;1,6;7;0;0
12:05:46.16098;-2;1,6;7;0;0
