Timestamp;Position.x;Position.y;Position.z;Rotation.x;Rotation.y;Rotation.z;Rotation.w
21:48:39.873318;0;0;0;0;0;0;1
21:48:41.329485;0;0;0;0;0;0;1
21:48:41.330494;0;0;0;0;0;0;1
21:48:41.330494;0;0;0;0;0;0;1
21:48:41.330494;0;0;0;0;0;0;1
21:48:41.354102;0;0;0;0;0;0;1
21:48:41.354102;0;0;0;0;0;0;1
21:48:41.355102;0;0;0;0;0;0;1
21:48:41.355102;0;0;0;0;0;0;1
21:48:41.362100;0;0;0;0;0;0;1
21:48:41.363509;0;0;0;0;0;0;1
21:48:41.376582;0;0;0;0;0;0;1
21:48:41.377583;0;0;0;0;0;0;1
21:48:41.377583;0;0;0;0;0;0;1
21:48:41.389901;0;0;0;0;0;0;1
21:48:41.389901;0;0;0;0;0;0;1
21:48:41.390900;0;0;0;0;0;0;1
21:48:41.404005;0;0;0;0;0;0;1
21:48:41.404005;0;0;0;0;0;0;1
21:48:41.417003;0;0;0;0;0;0;1
21:48:41.418003;0;0;0;0;0;0;1
21:48:41.418003;0;0;0;0;0;0;1
21:48:41.436003;0;0;0;0;0;0;1
21:48:41.437003;0;0;0;0;0;0;1
21:48:41.437003;0;0;0;0;0;0;1
21:48:41.437003;0;0;0;0;0;0;1
21:48:41.445003;0;0;0;0;0;0;1
21:48:41.446003;0;0;0;0;0;0;1
21:48:41.462002;0;0;0;0;0;0;1
21:48:41.462002;0;0;0;0;0;0;1
21:48:41.462002;0;0;0;0;0;0;1
21:48:41.475003;0;0;0;0;0;0;1
21:48:41.475003;0;0;0;0;0;0;1
21:48:41.476003;0;0;0;0;0;0;1
21:48:41.490003;0;0;0;0;0;0;1
21:48:41.490003;0;0;0;0;0;0;1
21:48:41.490003;0;0;0;0;0;0;1
21:48:41.503006;0;0;0;0;0;0;1
21:48:41.504003;0;0;0;0;0;0;1
21:48:41.517003;0;0;0;0;0;0;1
21:48:41.517003;0;0;0;0;0;0;1
21:48:41.517003;0;0;0;0;0;0;1
21:48:41.530002;0;0;0;0;0;0;1
21:48:41.531004;0;0;0;0;0;0;1
21:48:41.531004;0;0;0;0;0;0;1
21:48:41.545003;0;0;0;0;0;0;1
21:48:41.545003;0;0;0;0;0;0;1
21:48:41.545003;0;0;0;0;0;0;1
21:48:41.567482;0;0;0;0;0;0;1
21:48:41.568003;0;0;0;0;0;0;1
21:48:41.572003;0;0;0;0;0;0;1
21:48:41.572003;0;0;0;0;0;0;1
21:48:41.572003;0;0;0;0;0;0;1
21:48:41.585003;0;0;0;0;0;0;1
21:48:41.586003;0;0;0;0;0;0;1
21:48:41.586003;0;0;0;0;0;0;1
21:48:41.601003;0;0;0;0;0;0;1
21:48:41.601003;0;0;0;0;0;0;1
21:48:41.601003;0;0;0;0;0;0;1
21:48:41.613002;0;0;0;0;0;0;1
21:48:41.613002;0;0;0;0;0;0;1
